tag	type	text
1637	F	<par><hanform>雄</hanform> OC <latinform>*gi̯ŭng</latinform>, GSR #887l &apos;male&apos;; Li 1971: <latinform>*gwjəng</latinform>; Baxter 1992 #1348: <latinform>*wjɨng</latinform>; Mand. <latinform>xióng</latinform>.</par><par>This proposed cognate is doubtful.  The OC labialized initial plus schwa vocalism would normally correspond to a rounded vowel in PTB.<br />[ZJH]</par>
1637	F	"<par><hanform>犅</hanform> OC <reconstruction>*kɑ̂ng</reconstruction>, GSR #697f-g ‘bull’; Li 1971: <reconstruction>*kang</reconstruction>; Baxter 1992: <reconstruction>*kang</reconstruction>; Mand. <latinform>gāng</latinform>.</par><par>The proposed cognacy works phonetically, but one must also note a competing etymology with equally persuasive semantics that relates this Chinese word to WT <latinform>glang</latinform> ‘cow, elephant’.  (Gong 1995 and 2001 instead relate WT <latinform>glang</latinform> to OC &apos;elephant&apos; <hanform>象</hanform> <reconstruction>*gljangx</reconstruction> &gt; <reconstruction>*ljangx</reconstruction>.)</par><par>Schuessler (2007:251) suggests that <hanform>犅</hanform> may come from earlier <reconstruction>*klaŋ</reconstruction>, and posits a relationship with Mru <latinform>klaŋ</latinform> &apos;male&apos; and Lushai (Mizo) <latinform>tlaŋ</latinform> &apos;male&apos;, as well as with WT <latinform>glang</latinform>.  He proposes a PTB root <reconstruction>*laŋ</reconstruction> with animal prefix <reconstruction>*s-</reconstruction> or <reconstruction>*k-</reconstruction>.<footnote>See the previous etymon <xref ref=""1638"">#1638</xref>.</footnote></par><par>Note the parallel etymology with a homophonous member of the same phonetic series <hanform>岡</hanform> ‘ridge’ (Mand. <latinform>gāng</latinform>), which has been compared to WT <latinform>sgang</latinform> ‘hill, spur’ and WB <latinform>khang</latinform> ‘strip of high ground’ (see for example Coblin 1986:94-2).<footnote>See also HPTB:266, 303. [JAM]</footnote><br />[ZJH]</par>"
111	T	"<par>Contra STC #142, Lahu <latinform>bî </latinform> ‘full’ is not from this etymon, but rather from <xref ref=""134"">#134</xref>.</par><par>As discussed in Matisoff 1988 (&quot;Straight, flat, full&quot;), this root is allofamically related both to <xref ref=""707"">#707</xref> and <xref ref=""2160"">#2160</xref>, the common semantic core being &quot;a complete or ideal realization of a quality appropriate to a particular dimensionality in space&quot;.</par>"
111	F	<par><hanform>贏</hanform> OC <latinform>*di̯ĕng</latinform>, GSR #816f &apos;surplus, profit; win&apos;; Schuessler 2007:575 <latinform>*leŋ</latinform>; B &amp; S 2011: <latinform>*ɢeŋ {[ɢ]eŋ}</latinform>; Mand. <latinform>yíng</latinform>.<br /><hanform>盈</hanform> OC <latinform>*di̯ĕng</latinform>, GSR #815a-b &apos;fill; full; surplus&apos;; Schuessler 2007:575 <latinform>*leŋ</latinform>; B &amp; S 2011: (<latinform>*leŋ</latinform>); Mand. <latinform>yíng</latinform>.<br /><hanform>孕</hanform> OC <latinform>*di̯əng</latinform>, GSR #945j &apos;pregnant&apos;; Schuessler 2007:598 <latinform>*ləŋh</latinform>; B &amp; S 2011: <latinform>*liŋ-s {l[i]ŋ-s}</latinform>; Mand. <latinform>yùn</latinform>.</par>
2671	T	"<par>This root bears a strong resemblance to <xref ref=""5647"">#5647</xref>, and should perhaps be combined with it in the future.</par>"
2671	F	<par><hanform>洗</hanform> OC <latinform>*siən/siər</latinform>, GSR #478j ‘wash&apos;; Schuessler 2007:525 <latinform>*sə̂iʔ</latinform>/<latinform>sî(n)ʔ</latinform>/<latinform>sə̂nʔ</latinform>; B &amp; S 2011: <latinform>*sˁərʔ {[s]ˁərʔ}</latinform>; Mand. <latinform>xǐ</latinform>.<br /><hanform>洒</hanform> OC <latinform>*siən</latinform>/<latinform>siər</latinform>, GSR #594g-h &apos;wash&apos;; Schuessler 2007:525 <latinform>sə̂iʔ</latinform>/<latinform>sî(n)ʔ</latinform>/<latinform>sə̂nʔ</latinform>; B &amp; S 2011: <latinform>*sˁərʔ {[s]ˁərʔ}</latinform>; Mand. <latinform>xǐ</latinform>.</par>
3350	T	"<par>Cf. the rather similar etymon <xref ref=""6704"">#6704</xref>.</par>"
697	F	<par><hanform>乾</hanform> OC <latinform>*g’i̯ɑn</latinform>, GSR #140c &apos;heavenly&apos;; Schuessler 2007:425 <latinform>*gran</latinform>; B &amp; S 2011: (<latinform>*ɡran</latinform>); Mand. <latinform>qián</latinform>.</par><par><latinform>Comment:</latinform> In Chinese philosophy, <hanform>乾</hanform> <latinform>qián</latinform> refers to &quot;heaven, the male principle&quot;, the first of the <hanform>八</hanform><hanform>卦</hanform> <latinform>bā</latinform><latinform>guà</latinform>, i.e. the eight divinatory trigrams of the Book of Changes.</par>
368	T	"<par>This allofamic reconstruction is based on the rGyalrongic reflexes, which vary between <latinform>rɲe</latinform> and <latinform>rme</latinform>. Still other rGyalrongic forms with back vowels fit better with <xref ref=""363"">#363</xref>.</par>"
3469	T	<par>This root is solidly attested in the NE Indian Areal Group (Chin [Lai], Naga [Lotha, Phom] and Meithei), but so far it has not been discovered anywhere else.</par>
5756	T	"<par>This root, attested in Qiangic and Naxi, usually refers to a bad smell, although certain forms are glossed with the opposite meaning of &apos;fragrant&apos;.</par><par>For phonosemantically similar roots, see <xref ref=""1421"">#1421</xref> and <xref ref=""810"">#810</xref>.</par>"
2712	T	<par>Languages like Ao and Zeme have a sibilant fricative or affricate initial, although this may be chalked up to a widespread tendency to develop frication of <latinform>t</latinform> before <latinform>u</latinform>, as in Japanese.</par><par>Vowel length is reconstructed because of the WB rhyme <latinform>-uik</latinform>.</par>
2712	F	<par><hanform>篤</hanform> OC <latinform>*tôk</latinform>, GSR #1019g &apos;firm, solid, thick&apos;; Schuessler 2007:217 <latinform>*tûk</latinform>; B &amp; S 2011: <latinform>tˁuk</latinform>; Mand. <latinform>dǔ</latinform>.</par>
2712	I	<par>Recommend untagging anomalous Mongsen Ao form. There is no other support for a PTB *t- &gt; Mongsen s- development, and the source is not completely reliable.</par>
3460	T	<par>This root is of restricted distribution, occurring chiefly in Bodic and rGyalrongic.</par>
6091	T	<par>The basic meaning of this root is apparently STICK / BRANCH, with a semantic extension into TORCH, typically a pine branch used to light one&apos;s way at night.</par>
8	T	"<par>This etymon has reflexes ranging from an affricate <latinform>ts-</latinform> (Lotha), to a simple dental stop <latinform>t- or th-</latinform>, to a dental sibilant (Mizo, Nocte), to an <latinform>h-</latinform> (Meithei, Moyon, Maring). [For a similar range of reflexes, cf. <xref ref=""2742"">#2742</xref>. </par><par>We can assume a development in Meithei from <latinform>*ts-</latinform> to <latinform>*s-</latinform> to <latinform>h-</latinform>; the Moyon and Maring forms might well be borrowings from Meithei.</par><par>VanBik reconstructs a binome <latinform>*tak-shaa</latinform> for Proto-Kuki-Chin, where the second element is the general etymon PTB <latinform>*sya</latinform> MEAT / FLESH / ANIMAL.</par>"
594	T	<par>This root has been uncovered in both Qiangic and Loloish. The nasal prefix is reflected by the voiced Lahu initial.</par>
1852	T	"<par>This etymon is very possibly related to <xref ref=""163"">#163</xref>.</par>"
3457	T	"<par>This root is evidently hypocoristic in origin (see also <xref ref=""3459"">#3459</xref>, above), and in fact is practically identical to the Indo-European root <emph>*mā-</emph> &apos;mother; breast&apos; (&gt; e.g. Latin <emph>mamma</emph>), of which the <emph>American Heritage Dictionary</emph> (1981:1527) says &quot;An imitative root derived from the child&apos;s cry for the breast (a linguistic universal found in many of the world&apos;s languages, often in reduplicated form).&quot; The final nasal in this etymon might have arisen through the reduction of an earlier reduplicated form <reconstruction>*ma-ma</reconstruction> (as in Ao, Sangtam, and Bunan).</par><par>There is a phonologically similar but apparently unrelated root <xref ref=""3451"">#3451</xref>, below.</par>"
439	T	"<par>This root is to be distinguished from the phonologically similar <xref ref=""710"">#710</xref> and <xref ref=""711"">#711</xref>.</par>"
5551	T	"<par>This root has also acquired both the <latinform>-n</latinform> and <latinform>-t</latinform> suffixes; see <xref ref=""2143"">#2143</xref>.</par>"
5551	F	<par><hanform>薄</hanform> OC <latinform>*b’ɑ̂k</latinform>, GSR #771p &apos;thin&apos;; Schuessler 2007:170 <latinform>*bâk</latinform>; B &amp; S 2011: <latinform>*bˁak {(Cə.)[b]ˁak}</latinform>; Mand. <latinform>bó</latinform>.</par>
2666	T	<par>For detailed discussion of the numeral THREE, see Matisoff 1995 (&quot;Numerals&quot;), pp. 181-183.</par>
2666	F	<par><hanform>三</hanform> OC <latinform>*səm</latinform>, GSR #648a-c &apos;three&apos;; Coblin 86:149 ST <latinform>*gsum</latinform> &gt; OC <latinform>*səm</latinform>; Schuessler 2007:449 <latinform>*sə̂m</latinform>; B &amp; S 2011: <latinform>*srum {sr[u]m}</latinform> (<latinform>sr-</latinform> &gt; <latinform>s-</latinform>; infl. by <hanform>四</hanform> <latinform>s-</latinform> ?); Mand. <latinform>sān</latinform>.<br /><hanform>參</hanform> OC <latinform>*śi̯əm</latinform>, GSR #647a-b &apos;three stars in Orion belt&apos;; Schuessler 2007:449 <latinform>*srəm</latinform>; B &amp; S 2011: <latinform>*srum {sr[u]m}</latinform>; Mand. <latinform>shēn</latinform>.<br /><hanform>參</hanform> OC <latinform>*ts’əm</latinform>, GSR #647a-b &apos;unit of three; threefold&apos;; Schuessler 2007:449 <latinform>*tshə̂m</latinform> &lt; <latinform>*k-sə̂m</latinform>; B &amp; S 2011: <latinform>*N-sˁrum {N-sˁr[u]m}</latinform>; Mand. <latinform>cān</latinform>.</par>
3411	T	"<par>This etymon appears similar to <xref ref=""3559"">#3559</xref>, as suggested by the WB compound WB <latinform>lañ-ceʼ</latinform> ‘larynx’ (lit. ‘neck seed’).</par><par>On the other hand, several languages have distinct reflexes of these two roots, e.g. Chokri <latinform>tsa</latinform> &apos;seed&apos; vs. <latinform>(u) ru¹¹ che³⁵</latinform> ‘windpipe/trachea’, and nor Darang <latinform>tɑ³¹ piɑi⁵⁵</latinform> ‘seed’ vs. <latinform>shig-ceig</latinform> ‘windpipe’, so that it seems best to keep them separate.</par>"
2199	T	<par>This root is attested in Jingpho, Kanauri, a few languages of Nepal, and especially in Tibetan. Cf. WT <latinform>ḥdon-pa</latinform>, pf. <latinform>bton</latinform>, fut. <latinform>gdon</latinform>, imp. <latinform>thon</latinform> &apos;cause to go out / cause to come forth&apos;. Some reflexes have final <latinform>-ŋ</latinform> instead of <latinform>-n</latinform>. See STC p. 125.</par>
762	T	"<par>Although this root is of quite limited distribution, the exact but unusual rhyme correspondence between Thulung and Nungic inspires confidence that this is a genuine etymon.</par><par>The first syllable of Rengma <latinform>te ro ha</latinform> &apos;feather&apos; looks related but it might mean &apos;bird&apos; (cf. <latinform>tegü</latinform> or <latinform>tegvu</latinform> &apos;bird&apos;). Cf. <xref ref=""1604"">#1604</xref> (STC pp. 149, 192), attested otherwise only in Bodo-Garo and Karenic.</par>"
1361	T	<par>A possible Chinese comparandum is <hanform>屁</hanform> Mand. <emph>pì</emph> (cf. Mand. <hanform>放屁</hanform> <emph>fàngpì</emph> &apos;to fart&apos; and <hanform>辟谷</hanform> <emph>pìgǔ</emph> &apos;buttocks&apos;), although it is not clear whether it is attested in Old Chinese.</par>
1361	F	<par><hanform>髀</hanform> OC <latinform>*pi̯ĕg</latinform> ~ <latinform>*bieg</latinform>, GSR #874f &apos;thighbone, haunch&apos;; Schuessler 2007:164 <latinform>*peʔ</latinform> ~ <latinform>*bêʔ</latinform>; B &amp; S 2011: (<latinform>*beʔ</latinform>); Mand. <latinform>bì</latinform>.</par>
2151	T	"<par>This root seems quite distinct from <xref ref=""404"">#404</xref>.</par>"
6182	T	"<par>This looks like a valid Proto-Tani root, but it is possible that there is a connection with <xref ref=""6680"">#6680</xref>. Cf. English expressions like &apos;he got clean away&apos;, where the meaning is &quot;action performed with a complete result&quot;.</par>"
2559	F	<par><hanform>妣</hanform> OC <latinform>*pi̯ər</latinform>, GSR #566a-f &apos;mother (deceased), ancestress&apos;; Coblin 86:88 ST <latinform>*pyid </latinform> &gt; OC <latinform>*pjidx</latinform>; Schuessler 2007:162 <latinform>*piʔ</latinform>~<latinform>*pih</latinform>; B &amp; S 2011: <latinform>*pijʔ</latinform>~<latinform>*pijʔ-s </latinform>; Mand. <latinform>bǐ</latinform>~<latinform>bì</latinform>.</par>
5442	T	"<par>The initial consonant reflexes of this root vary between affricates, dental stop, and <latinform>s-</latinform>, in a manner similar to <xref ref=""2742"">#2742</xref>.</par><par>Written Tibetan attests both the <latinform>b-</latinform> and <latinform>g-</latinform> prefixes.</par><par>Mizo has a doublet <latinform>dai-lêng</latinform> &apos;shit&apos; and <latinform>tǔi-êk</latinform> &apos;rust&apos;, motivating the reconstruction of medial <reconstruction>*-w-</reconstruction>.</par>"
2315	T	<par>A number of languages (e.g., Burmese, Mizo) have developed simplex/causative pairs from this etymon. </par>
2315	F	<par><hanform>落</hanform> OC <reconstruction>*glɑ̂k</reconstruction>, GSR ＃766q&apos; &apos;fall, drop; perish&apos;; Schuessler 2007:371 <latinform>*râk</latinform>; B &amp; S 2011: <latinform>*kə.rˁak</latinform>; Mand. <latinform>luò</latinform>.<br /><hanform>露</hanform> OC <reconstruction>*glɑ̂g</reconstruction> GSR #766t&apos; &apos;dew&apos;; Schuessler 2007:366 <latinform>*râkh</latinform>; B &amp; S 2011: <latinform>*p.rˁak-s</latinform>; Mand. <latinform>lù</latinform>.<br /><hanform>下</hanform> OC <reconstruction>*gʼɑ̊</reconstruction>, GSR #35a &apos;down; descend&apos;; Schuessler 2007:527 <latinform>*grâʔ</latinform> &apos;down&apos;, <latinform>*grâh</latinform> &apos;descend&apos;; B &amp; S 2011: <latinform>*ɡˁraʔ</latinform> &apos;down&apos;, <latinform>*m-ɡˁraʔ-s</latinform> &apos;descend&apos;; Mand. <latinform>xià</latinform>.</par><par>Schuessler (2007:371) attributes OC initial <latinform>*r-</latinform> in <hanform>落</hanform> <latinform>*râk</latinform> to Austroasiatic influence, where OC initial <latinform>*l-</latinform> might otherwise be expected based on comparison with TB <reconstruction>*(C‑)l-</reconstruction> for this etymon. In this regard, however, Matisoff identifies  &quot;...several etyma where PTB <reconstruction>*(C-)l</reconstruction>- seems to correspond to Baxter’s <latinform>*(C)-r-</latinform>, including ‘fall’, ‘good’, ‘neck’, ‘salty’, ‘strength / arm’, and ‘young man / husband’&quot;(HPTB:53). We reiterate here Matisoff&apos;s (ibid.) claim that the  relationship between TB <latinform>*l-/*r-</latinform> and OC <latinform>*l-/*r-</latinform> is complex and has yet to be fully clarified. Apparent irregularities in correspondences between TB/OC <latinform>*l-/*r-</latinform> may therefore not always be attributable to loans to or borrowings into TB/OC.</par><par><hanform>陊</hanform> OC <latinform>*d’iɑ</latinform>, GSR #3o-p &apos;fall down, collapse&apos;; Schuessler 2007:619 <latinform>*d-laiʔ </latinform>; B &amp; S 2011: (<latinform>*t-lajʔ</latinform>); Mand. <latinform>duò</latinform>.<br /><hanform>阤</hanform> OC <latinform>*d’iɑ</latinform>, GSR #4z &apos;fall down, collapse&apos;; Schuessler 2007:619 <latinform>*d-laiʔ</latinform>; B &amp; S 2011: (<latinform>*t-lajʔ</latinform>); Mand. <latinform>tuó</latinform> ~ <latinform>zhì</latinform>.</par>
621	T	<par>Mikir and Khoirao have a dental stop instead of the lateral. Kham shows preemption by the <latinform>*s-</latinform> prefix.</par>
326	T	<par>This root has so far been identified only in Himalayan languages.</par>
3559	T	"<par>The basic meaning of this etymon seems to be SEED, with extensions into SMALL ROUND OBJECT, and thence to TESTICLE.</par><par>This morpheme frequently occurs as the last syllable in words for EYE, as does the semantically similar root <xref ref=""1019"">#1019</xref>.</par><par><xref ref=""3559"">#3559</xref> is quite distinct from <xref ref=""1019"">#1019</xref>, as witness the WB forms <latinform>sî</latinform> &apos;fruit&apos; vs. <latinform>ə-ceʼ</latinform> &apos;seed&apos;. </par>"
3629	T	"<par>This mythical animal has been associated with WATER, RAINBOW, and THUNDER. Some forms which look as if they might descend from this root should actually be assigned to <xref ref=""2465"">#2465</xref>.</par>"
3629	F	<par><hanform>龍</hanform> OC <latinform>*li̯ung</latinform>, GSR #1193a-e &apos;dragon&apos;; Gong 2001:24 <latinform>*m-bruŋ / *m-bruk</latinform>; B &amp; S 2011: <latinform>*mə-roŋ {[mə]-roŋ}</latinform>; Mand. <latinform>lóng</latinform>.<br /><hanform>隆</hanform> OC <latinform>*gli̯ông</latinform>, GSR #1015f &apos;thunder, sound of thunder&apos;; Schuessler 2007:363 <latinform>*ruŋ</latinform>; B &amp; S 2011: <latinform>*ruŋ {[r]uŋ}</latinform>; Mand. <latinform>lóng</latinform>.<br /><hanform>雹</hanform> OC <latinform>*b’ộk</latinform>, GSR #1113n &apos;hail&apos;; B &amp; S 2011: <reconstruction>*C.bˁruk {C.[b]ˁruk}</reconstruction>; Mand. <latinform>báo</latinform>.</par><par>Gong 2001:24 and HPTB #585 compare the current etymon, PTB <latinform>*m-bru(ŋ/k)</latinform> &apos;dragon; rain&apos;, with Chinese <hanform>龍</hanform> <latinform>lóng</latinform> &apos;dragon&apos;. Both these etyma may be allofamic with <hanform>雹</hanform> <latinform>báo</latinform> &apos;hail&apos;, as suggested by the latter&apos;s reconstruction as <latinform>*C.bˁruk</latinform> in B &amp; S 2011.</par><par>[SPB]</par>
5468	T	"<par>This root bears a strong resemblance to <xref ref=""1794"">#1794</xref>. For now, we are assigning reflexes with open syllables or final <latinform>-t</latinform> to the present etymon, and those with final velars to <xref ref=""1794"">#1794</xref>.</par><par>If these two roots were to be combined, it would necessitate a reconstruction like <latinform>səw-t ⪤ səwk</latinform>.</par>"
5468	F	<par><hanform>嗽</hanform> Cf. #1794 root variation?</par>
3399	T	"<par>For a phonosemantically similar root, see <xref ref=""310"">#310</xref>.</par>"
20	T	"<par>This root is reconstructed in STC #382, which cites the WT, Jingpho, Bodo, and Dimasa forms. The Bai and Lolo-Burmese forms look cognate, but the relationship of the Jinuo form to this set is uncertain. The semantic range of this etymon, which extends from the notion of birth to that of sprouting, greenness, freshness, is parallelled by another root <xref ref=""71"">#71</xref> (q.v.).</par>"
5823	F	<par><hanform>拍</hanform> <latinform>*mə-pʰˤrak</latinform>; <latinform>pāi</latinform> slap, pat, swat, beat, strike<br /><hanform>伐</hanform> <latinform>*m-pat</latinform>; <latinform>fá</latinform> attack, strike</par>
2012	T	"<par>This root is quite distinct from <xref ref=""819"">#819</xref>.</par>"
5411	T	<par>This stronghold of this etymon is Lolo-Burmese, where several forms overtly carry the nasal prefix, which is also indirectly attested by the voiced initials in languages like Lahu.</par>
1283	T	"<par>This etymon has so far been uncovered almost exclusively in the NE Indian Areal Group, where it is widely attested. The Lailenpi and Lotha forms point to a prototype with nasal prefix, <reconstruction>*N-yaŋ</reconstruction>. Many of the daughter languages have developed initial <latinform>z-</latinform> in this etymon. In several languages, the meaning of this word extends to &apos;stinger of bee&apos;, which perhaps is the original meaning. For the stinging semantics, cf. vulgar English <emph>prick</emph>.</par><par>An excellent extra-NE Indian candidate for cognacy is Jingpho <latinform>rāŋ</latinform> &apos;to be concupiscent; to be driven by sexual desires; to burn with lust&apos; (Hanson 1906/1954:564), recorded as <latinform>ʒaŋ³³</latinform> in Dai, et al. 1983:684, where it is glossed <hanform>性冲动</hanform> &apos;sexual impulse&apos;. See the compound <latinform>ne³¹ ʒaŋ³³</latinform> &apos;sexually potent male&apos;, under <xref ref=""545"">#545</xref>, above.</par>"
1743	T	<par>This allofam has so far only been uncovered in a few TB languages of Nepal.</par>
2243	F	<par><hanform>覯</hanform> OC <latinform>*ku</latinform>, GSR #109j &apos;come across, meet with&apos;; Coblin 86:72 ST <latinform>*kuk</latinform> &gt; OC <latinform>*kugh</latinform>; Schuessler 2007:258 <latinform>*kôh</latinform>; B &amp; S 2011: <latinform>*kˁo-s {kˁ(r)o-s}</latinform>; Mand. <latinform>gòu</latinform>.</par>
