semkey	type	text
1.3.5	I	"<par><xref ref=""486"">#486</xref> add WINDPIPE/NECK/GULLET to gloss, cf. WT lkog-ma ‘windpipe, gullet, neck, throat’ .</par>"
1.3.5	I	"<par><xref ref=""499"">#499</xref> attested in Achang and Yakkha.</par>"
1.3.5	I	"<par><xref ref=""499"">#499</xref>: add WINDPIPE to gloss, cf. Lepcha form for ‘windpipe’ .</par>"
1.3.5	I	"<par>change <xref ref=""486"">#486</xref> to <reconstruction>*C-kok</reconstruction>.</par>"
1.3.5.4	T	"<par>Note the semantic connection between LARYNX and KNOT or SEED., e.g. WT <latinform>ʼol-mdud</latinform> ‘throat-knot’ ; WB <latinform>lañ-ceʼ</latinform> ‘neck-seed’ ; Lisu <latinform>tɕeɑ³⁵miʔ²¹tɔ⁵⁵si&apos;̀a a¹</latinform> ‘monkey-knot’. </par><par>Note the similarity between the Lolopho form <latinform>ɒ⁴⁴ kɤ̱⁴⁴ lɤ̱⁴⁴</latinform>, the Lahu form <latinform>qá-qə̂ʔ-lə̂ʔ</latinform>, and the Lisu form <latinform>bø⁴⁴ kɔ²¹ lɔ³⁵</latinform> (all &apos;larynx/Adam&apos;s apple&apos;). There seems to be a Loloish binome here, currently tagged <xref ref=""486"">#486</xref> + <xref ref=""3412"">#3412</xref>, but this could just be imitative, as in English &apos;gullet&apos;, &apos;glug&apos;.</par>"
1.3.5.6	T	"<par>Note the following three WT forms for ‘throat’: <latinform>ʼog-ma  ⪤ lkog-ma ↮ ʼol-ma</latinform>. </par><par>  It is difficult to distinguish among the velar-initialed etyma: <xref ref=""486"">#486</xref>, <xref ref=""495"">#495</xref>, and <xref ref=""3361"">#3361</xref>. Compare Sangkong <latinform>aŋ³³khoŋ³¹</latinform> and Phunoi <latinform>ʔã⁵⁵ko¹¹</latinform> (both &apos;throat&apos;). The Phunoi form cannot be from <reconstruction>*-waŋ</reconstruction>, since <reconstruction>*-waŋ &gt; on/õ</reconstruction>, cf. ‘wing’ <latinform>ʔã́ tṍ</latinform> &lt; <xref ref=""711"">#711</xref>, ‘thigh’ <latinform>ʔã́-pon</latinform> &lt; <xref ref=""404"">#404</xref>.</par>"
1.4.2	T	"<par>Note the semantic connection between NECK and WAIST; the latter is the neck of the body. This is analogous to the extension of words for &apos;neck&apos; to other thin flexible areas of the body, as in Korean <latinform>son-mok</latinform> &apos;wrist&apos; (&apos;hand neck&apos;) and <latinform>pal-mok</latinform> &apos;ankle&apos; (&apos;foot neck&apos;). There is thus probably a relationship between WT <latinform>sked-pa ~ rked-pa</latinform> &apos;waist; middle&apos; and <latinform>ske ~ skye ~ skya</latinform> &apos;neck, throat&apos;.</par><par>  For the semantic connection between NECK and SHOULDER, see Chapter 1.4.3. </par><par>  The Karen forms, which all look something like <latinform>ko</latinform>, could either be from <xref ref=""486"">#486</xref> or from <xref ref=""3361"">#3361</xref>.</par><par>  Note also the similarity between the Hani forms for ‘neck’ <latinform>kʰɔ³¹ lɔ⁵⁵</latinform>, <latinform>kʰɔ³¹ laŋ⁵⁵</latinform>, <latinform>kʰɯ³¹ l̥ɯ⁵⁵</latinform> and the Karen (B) form <latinform>kʰo³¹ lø³¹ tʰi⁵⁵</latinform>. </par><par>  There is a widespread binome in LB consisting of etyma <xref ref=""479"">#479</xref> + <xref ref=""255"">#255</xref>.</par><par>  There is a possible semantic connection between THROAT/NECK and HEART; the first syllables of Limbu <latinform>niŋ-mā</latinform> ‘throat’ and Bisu <latinform>nɨŋ-tshɨ</latinform> ‘neck’ mean ‘heart’ .</par>"
1.4.2	G	<par></par>
1.4.3	T	"<par>For the semantic relationship with KNEE, see Chapter 1.5.8.4 (<xref ref=""436"">#436</xref>).</par><par>  Note also the semantic connection between SHOULDER and the adjoining NECK. <xref ref=""563"">#563</xref> is probably related to <xref ref=""479"">#479</xref>.</par><par>  Some words for SHOULDER are derived from roots meaning CONVEX, as WB <latinform>paʼ khûm</latinform>. </par><par>  Note the general proliferation of etyma for SHOULDER  with labial initials.</par><par>  Note the striking similarity between the Lahu form <latinform>làʔ-qá-pɨ</latinform> and Qiang (Taoping) <latinform>lɑ³¹ χɑ⁵⁵ pi³³</latinform>, both meaning ‘shoulder’ and both tagged as <xref ref=""695"">#695</xref> + <xref ref=""1278"">#1278</xref> + <xref ref=""276"">#276</xref>.</par>"
1.4.4.3	T	"<par>Note the relationship between CHEST and BELLY; the Kiranti root <xref ref=""3378"">#3378</xref> is from <xref ref=""137"">#137</xref>.</par><par><xref ref=""2"">#2</xref> is the source for WT <latinform>sku-braŋ</latinform> ‘chest (resp.)’, and also of the honorific prefix used with many body parts in WT. It should be kept distinct from <xref ref=""560"">#560</xref>, which is reflected in Thakali <latinform>&apos;ku</latinform>, Kaike <latinform>gu</latinform>, etc. </par><par>It is interesting to note that both ‘chest’ and ‘trunk’ are ambiguous in English between body-part and receptacle!</par>"
1.4.4.4	T	"<par>For the formations WAIST + BONE = RIB and BELLY + BONE = RIB, see Chapters 1.4.6 and 1.4.7.<br />The two roots <xref ref=""553"">#553</xref> and <xref ref=""297"">#297</xref> are sometimes difficult to distinguish, especially in Lolo-Burmese, but in general it seems that <xref ref=""553"">#553</xref> is more typical of Burmish, while <xref ref=""297"">#297</xref> is more typical of Loloish.</par>"
1.4.6	T	"<par>The Angami, Jirel, Kulung, Moyon, Bodo, Lalung, and Apatani forms appear to be closely related.</par><par>  Note the relation WAIST + BONE = RIB in Phunoi <latinform>ʔã cò</latinform> ‘waist’, <latinform>ʔɑ̃⁵⁵ co¹¹ jɑu¹¹</latinform> ‘rib’ (<latinform>jɑu¹¹</latinform> is ‘bone’); for the similar construction BELLY + BONE = RIB, see Chapter 1.4.7. </par><par>  Note that in the Loloish languages (e.g. Lisu, Xide, Gazhuo), compounds for WAIST often have <xref ref=""418"">#418</xref> as a constituent; these morphemes should not be confused with <xref ref=""223"">#223</xref>. </par><par>  Note the following NE Indian ‘parallel’ binomes which appear to have the same etymological structure, all glossed ‘waist’: Meluri <latinform>a-khü-shi</latinform>; Miji <latinform>gɯ-tsiʔ</latinform>; Miri <latinform>ki-čik</latinform>; Galo <latinform>pak-pu-cik</latinform> (last syllable only); Ntenyi <latinform>a-khü-shü</latinform>. The final syllables may be stop-final allofams of <xref ref=""223"">#223</xref>; the first syllables may possibly be related to <xref ref=""211"">#211</xref> or <xref ref=""217"">#217</xref>.</par>"
1.4.7	T	<par>Note the relation BELLY + BONE = RIB in Apatani <latinform>a-kʰrjɯ</latinform> ‘belly’ , <latinform>a-kʰrjɯ a-lo</latinform> ‘rib’ (<latinform>a-lo</latinform> is ‘bone’ ); for the similar construction WAIST + BONE = RIB, see Chapter 1.4.6.</par>
1.4.8	T	"<par>Many Lolo-Burmese forms for &apos;back&apos; are apparently descended from a bi-syllabic protoform <xref ref=""225"">#225</xref> + <xref ref=""219"">#219</xref>, as Bisu <latinform>taŋ-khaŋ</latinform>. We also note the frequent pattern <xref ref=""1"">#1</xref> + <xref ref=""225"">#225</xref>, as Lisu <latinform>gu³⁵ du³¹</latinform>. Lolo-Burmese languages show no real evidence for <xref ref=""211"">#211</xref> or <xref ref=""206"">#206</xref>. </par><par>  Note the following forms for ‘back’ : Sde-dge Tibetan <latinform>dʑɑʔ³¹loʔ⁵³</latinform>, Sherpa <latinform>&apos;gyap-lā</latinform>, Shixing <latinform>dʑo³³lɑ³⁵</latinform>. The second syllables seem to be related to WT <latinform>logs</latinform> ‘side’, for which we have no PTB etymology.</par>"
1.4.10	T	"<par>Note the collocation of BUTT and HEAVY for words meaning &apos;lazy; sluggish&apos;. See Jingpho <latinform>maidang li</latinform> &apos;heavy, slow, lazy&apos;; Lahu <latinform>qhɛ̂-qhɔ hɔ̂ </latinform>&apos;sluggish, slow-moving; lazy&apos;. (Note also the English expression &apos;lead in your pants&apos;, and Japanese <latinform>koshi ga omoi</latinform> &apos;hips are heavy&apos;.) </par><par>  It is interesting to note that Padam-Mising [Abor-Miri] preserves four distinct PTB roots in four synonyms glossed &apos;buttock&apos;: <latinform>ko-dun</latinform>, <latinform>ko-piang</latinform>, <latinform>ta-pong</latinform>, <latinform>ki-pum</latinform> (roots <xref ref=""574"">#574</xref>, <xref ref=""399"">#399</xref>, <xref ref=""404"">#404</xref>, and <xref ref=""163"">#163</xref> resp.).</par>"
1.5.1	T	"<par>For the first attempt to deal with this area of semantic space, see Matisoff 1985 (&apos;Out on a limb&apos;).</par><par>The presentation of the roots follows a certain roughly logical order. First come the etyma that seem basically to have meant HAND. The most widespread of these, which we might call «the <reconstruction>*lak</reconstruction>-family», comes in some nine variant forms (allofams), with semantic spillover into the areas of CUBIT and FOOT (Etyma #&apos;s 1a-1i). This HAND section also comprises 6 more etyma, of varying degrees of solidity (#&apos;s 2-7).</par><par>Next come the roots whose basic meaning is deemed to have been ARM (#&apos;s 8-15), followed by the more numerous etyma in the WING area (#&apos;s 17-32), one of which (#17) has 5 variants. This study is rounded out by several roots meaning PALM or WRIST (#&apos;s 33-37); then three roots referring to measurements made with the upper limb (CUBIT, HANDSPAN; #&apos;s 38-40); finally an etymon with both nominal (ARMPIT) and verbal (TICKLE) dimensions (#41), and a group of 7 Proto-Kuki-Chin reconstructions referring to actions performed with the hands (#&apos;s 42-48).</par><par>Most of the reconstructions offered are at the Proto-Tibeto-Burman level. When available, meso-reconstructions are also included (e.g. pKaren, pKiranti, pKuki-Chin, pLolo-Burmese, pTani). Usually these are subsumed under the PTB etymon they represent, and do not receive a separate number (#&apos;s 1c, 2, 8, 19, 20b, 22), but occasionally they have so far only been reconstructed for a single subgroup, and so receive separate numbers (#&apos;s 15, 26, 30, 42-48).</par><par>	For 13 of these etyma, Chinese comparanda are suggested, so that they may plausibly be reconstructed back to the Proto-Sino-Tibetan level.</par><par>	For the sake of completeness we include an Indo-Aryan root (#32) which has been borrowed into several Himalayan languages.</par><par>	Detailed as these etymologies are, they by no means exhaust the semantic field of the UPPER LIMB, which includes such notions as FINGER, FIST, ELBOW, NAIL, etc.</par>"
1.5.1	T	<par>Note the connection between HAND and LEAF, cf. Nocte <latinform>dʌk</latinform> ‘hand’ , <latinform>¹ʌ-dʌk</latinform> ‘leaf’ ; Konyak (Tamlu) <latinform>yak</latinform> ‘hand’ , <latinform>bɯn-yak</latinform> ‘leaf’ ; Garo <latinform>jak</latinform> ‘hand’ ; <latinform>bi-jak</latinform> ‘leaf’ ; etc. In other languages, the words for ‘hand’ and ‘foot’ both contain the same morpheme, which is allofamically related to a morpheme in ‘leaf’ . For example, Lisu <latinform>lá⁶-hpá²</latinform> ‘hand’ , <latinform>hchi³-hpá²</latinform> ‘foot’ , <latinform>si²-hpyá⁵</latinform> ‘leaf’.</par>
1.5.2.1	T	<par>Note that words for &apos;heel&apos; are sometimes collocations of FOOT + EGG or FOOT + BUTTOCK.</par>
1.5.6.1	T	<par>There are also compounds HAND-MOTHER.</par>
1.5.7	T	<par>For etyma meaning LEG, see Chapter 1.5.1.</par>
1.5.8	I	<par>cf. WRIST, KNUCKLE (ELBOW, KNEE). chart?</par>
1.5.8.4	T	"<par>Note the semantic connection between SHOULDER (Chapter 1.4.3) and KNEE; cf. Nung <latinform>phut</latinform> ‘shoulder’ and Jingpho <latinform>ləphùt</latinform> ‘knee’ (&lt; <xref ref=""436"">#436</xref>).</par>"
1.5.9	T	<par>Note that etymon 350 *la LEG is homophonous to etymon 701 *la ARM.</par>
1.6.3	T	<par>Note that quite a number of Himalayish languages have borrowed Nepali <latinform>hāD</latinform> (<latinform>hāḍ</latinform>) &apos;bone&apos; for words for &apos;bone&apos; and &apos;rib&apos;. See Turner p. 807, who reconstructs <reconstruction>*haḍḍa-</reconstruction> (Ass. <latinform>hār</latinform>; Beng. <latinform>hāṛ</latinform>) and notes that the &quot;connection with <latinform>aṣṭhi</latinform> very doubtful&quot;.</par>
1.6.5	T	<par>The fact that so many roots can be reconstructed for SKIN is undoubtedly due to the wide variety of associations this concept has with other points in semantic space: human, animal, and vegetable. The notion of <emph>outer covering</emph> is equally applicable to the skin of humans, the hide of animals, the bark of trees, the rind of fruits, the husks of corn, or the shells of nuts.<footnote>Macadamia nuts have both husks and shells.</footnote> Since several sub-parts of the body have their own skin-like coverings, morphemes for SKIN appear in many compound words for such specialized body-parts as eyelids, lips, and foreskins. A further semantic chain leads from the body-part to the associated verb, TO SKIN/REMOVE THE SKIN.  Semantic flowcharts provide a visual representation of SKIN and related concepts; the associations with SKIN are in fact so complex that two flowcharts are given.</par><par>Etyma in this semantic area are reconstructed with widely different degrees of certitude, ranging from the rock-solid to the shaky.  They are presented below roughly in the order of the strength of their attestations.</par>
1.7.1	T	<par>For the possible semantic connection between HEART and NECK, see Chapter 1.4.2.</par>
1.7.2	T	<par>The flowchart below depicts the semantic relationship between LUNGS and LIVER in Jingpho.</par>
1.8.3.1	I	<par>As expected, some TB forms for this gloss are onomatopoeic (or onomatopoeic form plus a generic verb, cf. Southern Min <latinform>pʰa³¹ kʰa³³tɕʰĩũ²¹</latinform>). Such forms do not seem analyzable into individual morphemes</par>
1.8.3.2	I	<par>evidence of the<latinform>-s </latinform>for the reconstruction<reconstruction>*(m-)pras</reconstruction>: rGyalrong (NW), Tsangla, WT, Chepang, Kanauri, Kulung.</par>
1.8.3.2	I	<par>New tagging number: 1145 <reconstruction>*m-pras</reconstruction>. Evidence of nasal prefix: rGyalrong <latinform>m</latinform><latinform>pʰɐt</latinform>; Jingpho <latinform>n</latinform><latinform>-phat</latinform>; Kaman <latinform>tʌ-</latinform><latinform>m</latinform><latinform>phat</latinform>. Evidence of <latinform>-s</latinform> final: Tsangla <latinform>pʰro</latinform><latinform>s</latinform>, Kanauri <latinform>pha</latinform><latinform>s</latinform><latinform>-</latinform>; Chepang <latinform>hèmdash a</latinform><latinform>s</latinform>; Thulung <latinform>pho</latinform><latinform>s</latinform>; Bantawa <latinform>pe</latinform><latinform>s</latinform>; rGyalrong (NW) <latinform>kə-mbe</latinform><latinform>s</latinform>; WT <latinform>&apos;phro</latinform><latinform>s</latinform> &apos;to come out&apos;. Evidence of <latinform>-r-</latinform> medial: Tsangla <latinform>pʰ</latinform><latinform>r</latinform><latinform>os</latinform>, WT <latinform>&apos;ph</latinform><latinform>r</latinform><latinform>os</latinform> &apos;to come out&apos;, Nusu <latinform>pʰ</latinform><latinform>ɹ</latinform><latinform>ə̱³¹</latinform>; Pattani <latinform>p</latinform><latinform>r</latinform><latinform>ãsi;</latinform> Mao <latinform>¹p</latinform><latinform>r</latinform><latinform>a</latinform>; Khezha <latinform>²te²p</latinform><latinform>r</latinform><latinform>e</latinform>; Nyisu (Mirish) <latinform>b</latinform><latinform>l</latinform><latinform>â.</latinform></par>
1.8.4	I	"<par><xref ref=""650"">#650</xref> <latinform>tši</latinform> should be modified as <reconstruction>*tši~dži</reconstruction>; cf. Lahu Na <latinform>dzɿ⁵³</latinform>; Jingpho <latinform>džit</latinform>.</par>"
1.8.4	I	"<par>Most Qiangish lgs (and Naxi) have reflexes with a voiced (often prenasalized or preceded by some other consonantal element) bilabial stop and an open rhyme with a front vowel (cf. Mawo Qiang <latinform>/bi/</latinform>). This seems to warrant postulating a spesific proto-Qiangish root <xref ref=""1102"">#1102</xref> <reconstruction>*C-bi</reconstruction>.</par>"
1.8.5	T	<par>Forms in some Bodic lgs seem to be nursery words. ex. Tibetan <latinform>ka-ka</latinform>; Bunan <latinform>ko-ko</latinform>, Spiti <latinform>a-ka</latinform>.</par>
1.8.5.2	I	<par>Many lgs have the pattern FART+let go to denote ‘to break wind’ , e.g. Chinese, Tibetan, Loloish.</par>
1.8.6.1	I	<par>Is it possible to collapse 1293 *s-bu and 1295 *s-pa (how is the vowel arrived at?).</par>
1.8.8.2	I	"<par>New tagging numbers: <xref ref=""1103"">#1103</xref> <reconstruction>*krap</reconstruction> (STC #116); <xref ref=""1104"">#1104</xref> <reconstruction>*ŋuw</reconstruction> (STC#79).</par>"
1.8.8.3	I	<par>Common compound patterns are : EYE+water, EYE+TEARS.</par>
1.9	T	<par>Most of the etyma in this chapter were previously published in <emph>The Tibeto-Burman Reproductive System</emph> (Matisoff 2008).</par>
1.9.1	T	"<par>The English word <emph>yolk</emph> (&lt; OE <emph>geolca</emph>) is an allofam of <emph>yellow</emph> (&lt; OE <emph>geolu</emph>) &lt; PIE <reconstruction>*ghel-</reconstruction> &apos;shine; shiny object&apos; [AHD:2029]. Similarly, TB words for YOLK typically contain a morpheme meaning YELLOW, e.g. Lahu <latinform>g̈âʔ-u-ši</latinform> &apos;yolk of hen&apos;s egg&apos; &lt; <xref ref=""1606"">#1606</xref> + <xref ref=""301"">#301</xref> + <latinform>ši</latinform> &apos;yellow/gold&apos; &lt; <xref ref=""3496"">#3496</xref>. See HPTB:191.</par>"
1.9.1	T	"<par>An important associated concept is BIRD, with several distinct roots appearing in compounds for EGG, including <xref ref=""1603"">#1603</xref>, <xref ref=""1600"">#1600</xref>, <xref ref=""2187"">#2187</xref>, <xref ref=""1604"">#1604</xref>, <xref ref=""3442"">#3442</xref>. It is sometimes hard to distinguish reflexes of <reconstruction>*wa</reconstruction> and <reconstruction>*haːr</reconstruction>; cf. the first syllable in Wancho <latinform>ao-ti</latinform>, below. Similarly, it is sometimes hard to distinguish reflexes of <reconstruction>*wa</reconstruction> and <reconstruction>*bya</reconstruction>; cf. the first syllable in Bahing <latinform>ʔba-di</latinform>.</par>"
1.9.4	T	"<par>The roots in this chapter refer primarily to the female breast as part of the reproductive system, rather than BREAST in the sense of CHEST (but see <xref ref=""3463"">#3463</xref>, below).</par>"
1.9.5	T	"<par>Etyma for VAGINA and PENIS show frequent interchange and/or phonological similarity, by a phenomenon felicitously dubbed &quot;genital flipflop&quot; by Benedict.<footnote>Benedict 1979, &quot;A note on Karen genital flipflop&quot; (LTBA 5.1:21-24); 1981 &quot;A further (unexpurgated) note on Karen genital flipflop&quot; (LTBA 6.1:103); 1991 &quot;Genital flipflop: a Chinese note&quot; (LTBA 14.1:143-6).</footnote> The roots where this interchange is most evident include: <xref ref=""661"">#661</xref> : <xref ref=""3420"">#3420</xref>; <xref ref=""1616"">#1616</xref> : <xref ref=""1284"">#1284</xref>; <xref ref=""1352"">#1352</xref> : <xref ref=""641"">#641</xref>; <xref ref=""1353"">#1353</xref> : <xref ref=""547"">#547 PENIS / MALE / SON-IN-LAW</xref>. This relationship is indicated by a <emph>yin-yang</emph> curve in the semantic diagram.</par>"
1.9.5	T	"<par>Roots for VAGINA also show interchange with etyma for MOUTH. See especially <xref ref=""1356"">#1356</xref>; <xref ref=""686"">#686</xref>; and <xref ref=""667"">#667</xref>.</par><par>There is also an association between VAGINA and ANUS (see, e.g. <xref ref=""3432"">#3432</xref> and <xref ref=""665"">#665</xref>).</par>"
1.9.5	T	<par>An association between CLITORIS and UVULA is shown by Mizo <latinform>daŋ-mɔn</latinform> &apos;uvula&apos;, literally &quot;palate-clitoris&quot;. See VSTB, p. 67.</par>
1.9.5	T	"<par>We are not including roots for FEMALE/WOMAN in this chapter, since they seem quite independent of etyma for the &quot;female organs&quot;. (Apparent exceptions are a few forms from rGyalrong, e.g. NW rGyalrong <latinform>tə◦stə</latinform> &apos;female&apos; &lt; <xref ref=""661"">#661</xref>; but these may be misglossed.) On the other hand, words for MALE do frequently interchange with words for the male genitals; some of these etyma are accordingly discussed in Chapter 1.9.7 below. </par>"
1.9.6	I	<par>Note that common terms for womb are “child-house” ,” child-nest” , and possibly “child-aid” .</par>
1.9.6	T	"<par>Words for WOMB or PLACENTA are frequently associated with notions of NEST, HOUSE, or BELLY. A slightly different metaphor is exemplified by Kanauri <latinform>chaŋ khŭl</latinform>, lit. &quot;child skin&quot;, with the second element &lt; <xref ref=""593"">#593</xref>.</par>"
